Serial 	FileName 	SBD 	MaDe 	BaiLam
79	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_11.jpg	00012498	0004	BCAABBDBDDBD____________________________          
80	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_12.jpg	00012525	0001	DDBCACCBDDBB____________________________          
81	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_13.jpg	00012570	0004	BCAABCDBCCBD____________________________          
82	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_14.jpg	00012580	0002	DDBBBB*CADAC____________________________          
83	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_15.jpg	00012619	0004	BCAABBDBCDBD____________________________          
84	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_16.jpg	00012641	0004	BCABBCDBCDBD____________________________          
85	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_17.jpg	00012669	0002	DDBBBBACADAC____________________________          
86	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_18.jpg	00012035	0004	BCAABBDBCDBD____________________________          
87	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_19.jpg	00012058	0002	DDBBBBACADAC____________________________          
88	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_2.jpg	00012280	0001	DDBCACCBDDBB____________________________          
89	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_20.jpg	00012100	0004	BCAABBDBCDBD____________________________          
90	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_21.jpg	00012110	0002	DDBBBBACADAC____________________________          
91	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_22.jpg	00012135	0004	BCACBBDBCDBD____________________________          
92	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_23.jpg	00012166	0004	BCBABCCDCDBD____________________________          
93	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_24.jpg	00012195	0003	BADADCDCBBCB____________________________          
94	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_3.jpg	00012307	0003	BADADCDCBBCA____________________________          
95	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_4.jpg	00012351	0002	DDBBBBACADAC____________________________          
96	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_5.jpg	00012362	0001	DDBCACCBDDBB____________________________          
97	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_6.jpg	00012388	0002	DDBBBBACADAC____________________________          
98	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_7.jpg	00012415	0001	DDBCADCBDDBB____________________________          
99	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_8.jpg	00012445	0002	DDBBBBACABAC____________________________          
100	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\004_9.jpg	00012472	0002	DDBBBBACADAC____________________________          
101	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005.jpg	00012224	0002	DDBBBBACADAC____________________________          
102	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_1.jpg	00012249	0002	DDBBBBACADAC____________________________          
103	D:\1. KIEM TRA CTP\2. 2025-2026\6. Thi GK II\K12\TOAN\005_10.jpg	00012005	0001	DDBCADCBDDCB____________________________          
